,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
464,74.8,3850.0,1.91,108.0,36.3,2240.0,49.0,12.5,3.88,45.1,2.91
465,75.1,3890.0,2.03,145.0,32.1,2200.0,50.8,12.6,3.69,45.8,2.87
466,75.3,4140.0,2.15,163.0,37.5,2230.0,49.5,12.7,3.65,46.5,2.83
467,75.6,4290.0,2.2,182.0,40.5,2250.0,49.7,12.8,3.54,47.2,2.79
468,75.8,4400.0,2.07,205.0,48.8,2230.0,56.2,12.8,3.52,47.9,2.76
469,76.0,4420.0,2.24,229.0,55.5,2210.0,49.6,12.9,3.63,48.6,2.74
470,76.3,4620.0,2.34,270.0,71.6,2300.0,54.2,13.0,3.76,49.3,2.71
471,76.5,4570.0,2.46,321.0,112.0,2290.0,52.3,13.1,3.87,5.0,2.68
472,76.7,4660.0,2.44,328.0,122.0,2350.0,49.0,13.1,3.95,5.7,2.66
473,69.9,1950.0,2.02,78.6,31.8,3370.0,82.1,11.0,0.14,5.7,3.23
474,69.7,1980.0,1.76,75.8,30.7,3410.0,88.1,11.1,0.14,51.2,3.18
475,69.8,1990.0,1.75,73.6,29.6,3430.0,83.5,11.2,0.15,51.8,3.13
476,69.9,2020.0,2.0,58.1,23.4,3380.0,76.4,11.3,0.15,52.3,3.09
477,70.1,2060.0,2.0,58.9,23.8,3310.0,75.9,11.2,0.16,52.9,3.05
478,70.3,2110.0,2.18,65.9,26.8,3370.0,74.4,11.4,0.16,53.5,3.02
479,70.3,2220.0,2.28,75.2,33.3,3390.0,72.5,11.5,0.18,54.2,3.0
480,70.5,2330.0,2.38,84.6,34.9,3450.0,72.5,11.7,0.21,54.8,3.02
481,70.5,2460.0,2.45,101.0,42.7,3490.0,74.6,11.9,0.24,55.5,3.06
482,70.4,2520.0,2.51,114.0,44.9,3440.0,68.5,12.0,0.21,56.2,3.11
483,70.5,2600.0,2.41,123.0,46.1,3510.0,81.2,12.2,0.22,57.0,3.19
484,72.2,2690.0,0.979,177.0,79.8,2540.0,115.0,11.3,2.79,45.3,3.02
485,71.9,2690.0,1.01,181.0,82.3,2630.0,112.0,11.6,2.88,46.2,2.9
486,72.7,2720.0,1.02,183.0,85.5,2640.0,108.0,11.8,2.97,47.0,2.79
487,72.8,2750.0,1.1,183.0,86.5,2600.0,105.0,12.0,3.1,47.8,2.69
488,72.9,2760.0,1.06,189.0,93.4,2570.0,103.0,12.4,2.9,48.6,2.6
489,73.1,2820.0,1.07,202.0,106.0,2570.0,109.0,12.7,2.77,49.4,2.53
490,73.3,2930.0,1.13,203.0,126.0,2580.0,116.0,12.9,2.77,5.1,2.47
491,73.5,2970.0,1.15,207.0,122.0,2570.0,113.0,12.9,2.83,5.8,2.41
492,73.8,3020.0,1.07,216.0,128.0,2570.0,112.0,13.4,2.68,51.4,2.36
493,73.8,2940.0,1.05,228.0,137.0,2570.0,112.0,12.8,2.55,52.1,2.31
494,74.1,2990.0,1.05,237.0,146.0,2520.0,108.0,12.9,2.36,52.8,2.27
495,70.8,10100.0,10.6,250.0,169.0,3050.0,150.0,14.4,0.01,54.0,1.32
496,70.6,10800.0,11.2,252.0,174.0,3050.0,151.0,15.0,0.01,54.3,1.34
